t,y,n
20.0,-0.004725314710286939,8.0
25.0,0.004488625899936219,8.0
30.0,-0.004724755806980824,8.0
35.0,0.001787476759108724,8.0
40.0,0.0015473509988503827,8.0
45.0,0.0033834071160240018,8.0
50.0,-0.005195867718913727,8.0
55.0,0.012988886831446202,8.0
60.0,0.010061211419568486,8.0
62.0,-0.5872847199524261,8.0
65.0,-0.5714028825811087,8.0
70.0,-0.5394061730780112,8.0
75.0,-0.5082855330106406,8.0
80.0,-0.4797662447835805,8.0
85.0,-0.45870151852134844,8.0
90.0,-0.43276007643816256,8.0
95.0,-0.4146536100394046,8.0
100.0,-0.3855807190408134,8.0
105.0,-0.3716487843850024,8.0
110.0,-0.3516969687483217,8.0
115.0,-0.3317279921487342,8.0
120.0,-0.31577619187597844,8.0
125.0,-0.30275427119056825,8.0
130.0,-0.274497166663415,8.0
135.0,-0.2583670922344219,8.0
140.0,-0.2472680760892107,8.0
145.0,-0.2361592119982801,8.0
150.0,-0.22497445336634114,8.0
155.0,-0.214237380759975,8.0
160.0,-0.201518123148248,8.0
165.0,-0.19287167295997487,8.0
170.0,-0.18525129327062603,8.0
175.0,-0.17076162788923951,8.0
180.0,-0.1666024047426974,8.0
185.0,-0.1414163112675677,8.0
190.0,-0.14585827699061465,8.0
195.0,-0.1307493713509307,8.0
200.0,-0.12299841891625984,8.0
205.0,-0.11908838370746758,8.0
210.0,-0.11411845119534439,8.0
215.0,-0.10322731436984614,8.0
220.0,-0.100872862571602,8.0
225.0,-0.08859801606224989,8.0
230.0,-0.08176917606954635,8.0
235.0,-0.08037876858131482,8.0
240.0,-0.07122132577625988,8.0
245.0,-0.06366293150632454,8.0
250.0,-0.06094328642639649,8.0
255.0,-0.054228639376717486,8.0
260.0,-0.0533767761729291,8.0
265.0,-0.04871342489538567,8.0
270.0,-0.05221469176810114,8.0
275.0,-0.0356394632319473,8.0
280.0,-0.041890956560639764,8.0
285.0,-0.03335026359482656,8.0
290.0,-0.03955470364509791,8.0
295.0,-0.025701843429424772,8.0
300.0,-0.01890275822206696,8.0
0.0,-0.0038513042093364764,9.0
5.0,-0.010500963381858318,9.0
10.0,0.00348403692191805,9.0
15.0,0.001860004937047095,9.0
20.0,-0.0008867474599184502,9.0
25.0,-0.006545384227341246,9.0
30.0,0.004659620397245785,9.0
35.0,-0.00208711163006231,9.0
40.0,-0.0007246352999912428,9.0
45.0,0.005485628034547725,9.0
50.0,0.005311634558200433,9.0
55.0,0.004751124017503389,9.0
60.0,-0.0009559026579541092,9.0
62.0,-0.5293146236689074,9.0
65.0,-0.5108253645482633,9.0
70.0,-0.4862702083307077,9.0
75.0,-0.4583459291541017,9.0
80.0,-0.4422970582178304,9.0
85.0,-0.4211830024167541,9.0
90.0,-0.3981759355276886,9.0
95.0,-0.38035249350634937,9.0
100.0,-0.3689317840133629,9.0
105.0,-0.35659901103049224,9.0
110.0,-0.3362801870618168,9.0
115.0,-0.3211132097747842,9.0
120.0,-0.3073644373503195,9.0
125.0,-0.2883087321537076,9.0
130.0,-0.27943412066621937,9.0
135.0,-0.2701298759752013,9.0
140.0,-0.25362719041906456,9.0
145.0,-0.23576173316481225,9.0
150.0,-0.2281508574974366,9.0
155.0,-0.21925765844164566,9.0
160.0,-0.1993274535032706,9.0
165.0,-0.1898941198742644,9.0
170.0,-0.1828488727389718,9.0
175.0,-0.17644642450227396,9.0
180.0,-0.17330419418507553,9.0
185.0,-0.1610367143680098,9.0
190.0,-0.1600585106458292,9.0
195.0,-0.1603629841837388,9.0
200.0,-0.15517873348397382,9.0
205.0,-0.16822126232491488,9.0
210.0,-0.15563330157998956,9.0
215.0,-0.15396292807393175,9.0
220.0,-0.16064336119262854,9.0
225.0,-0.15252835668270182,9.0
230.0,-0.16532595171829637,9.0
235.0,-0.167258556648289,9.0
240.0,-0.1723882821269336,9.0
245.0,-0.18118227375617024,9.0
250.0,-0.18417205333483785,9.0
255.0,-0.18100827709610706,9.0
260.0,-0.1938446798167788,9.0
265.0,-0.20155885399008652,9.0
270.0,-0.20820535611880525,9.0
275.0,-0.22145935110447826,9.0
280.0,-0.2285446993389629,9.0
285.0,-0.23629723475958525,9.0
290.0,-0.24566935832740658,9.0
295.0,-0.24817650170652536,9.0
300.0,-0.2538881393380248,9.0
